day,month_of_year,continuous_month,Creator,time_to_collection,quantity_monthly,collect_scheduled_month,postal_code,is_peak_season,dependents_qty,month,longitude,week_of_year,timestamp,client_list,latitude,quantity_weekly,quantity_daily,marker_cluster,quantity
8,21,21,0.181391147,-123,1270,9,T5X 1X6,0,1,9,-113.5245,36,2024-09-08 03:00:00,0.000782897,53.6313,445,2038,1880,445
8,22,22,0.181391147,-153,1263,10,T5X 1X6,0,1,10,-113.5245,41,2024-10-08 03:00:00,0.000782897,53.6313,247,2438,1880,247
8,23,23,0.181391147,-184,1225,11,T5X 1X6,0,1,11,-113.5245,45,2024-11-08 04:00:00,0.000782897,53.6313,468,2364,1880,468
8,11,11,0.181391147,0,592,11,T5Y 0H6,0,5,11,-113.3614,45,2023-11-08 04:00:00,0.001264679,53.6585,468,2249,1582,468
8,11,11,0.181391147,0,592,11,T5B 1W7,0,1,11,-113.3369,45,2023-11-08 04:00:00,0.001023788,53.7353,468,2249,710,468
8,11,11,0.181391147,0,592,11,T5X 4W9,0,1,11,-113.5245,45,2023-11-08 04:00:00,0.001023788,53.6313,468,2249,1672,468
8,11,11,0.181391147,0,592,11,T5L 2K7,0,4,11,-113.5526,45,2023-11-08 04:00:00,0.000963565,53.585,468,2249,2107,468
8,11,11,0.181391147,0,592,11,T6J 2H8,0,6,11,-113.521,45,2023-11-08 04:00:00,0.000782897,53.4564,468,2249,1940,468
8,12,12,0.181391147,-30,720,12,T6J 2H8,0,6,12,-113.521,49,2023-12-08 04:00:00,0.000782897,53.4564,553,2364,1940,553
8,13,13,0.181391147,-61,824,1,T6J 2H8,0,6,1,-113.521,2,2024-01-08 04:00:00,0.000782897,53.4564,368,2834,1940,368
8,14,14,0.181391147,-92,855,2,T6J 2H8,0,6,2,-113.521,6,2024-02-08 04:00:00,0.000782897,53.4564,343,2497,1940,343
8,15,15,0.181391147,-121,947,3,T6J 2H8,0,6,3,-113.521,10,2024-03-08 04:00:00,0.000782897,53.4564,341,2364,1940,341
8,16,16,0.181391147,-152,935,4,T6J 2H8,0,6,4,-113.521,15,2024-04-08 03:00:00,0.000782897,53.4564,276,2834,1940,276
8,17,17,0.181391147,-182,1150,5,T6J 2H8,0,6,5,-113.521,19,2024-05-08 03:00:00,0.000782897,53.4564,278,2249,1940,278
8,18,18,0.181391147,-213,1503,6,T6J 2H8,1,6,6,-113.521,23,2024-06-08 03:00:00,0.000782897,53.4564,424,2187,1940,424
8,19,19,0.181391147,-243,1434,7,T6J 2H8,1,6,7,-113.521,28,2024-07-08 03:00:00,0.000782897,53.4564,250,2834,1940,250
8,20,20,0.181391147,-274,1298,8,T6J 2H8,1,6,8,-113.521,32,2024-08-08 03:00:00,0.000782897,53.4564,335,2497,1940,335
8,21,21,0.181391147,-305,1270,9,T6J 2H8,0,6,9,-113.521,36,2024-09-08 03:00:00,0.000782897,53.4564,445,2038,1940,445
8,22,22,0.181391147,-335,1263,10,T6J 2H8,0,6,10,-113.521,41,2024-10-08 03:00:00,0.000782897,53.4564,247,2438,1940,247
8,23,23,0.181391147,-366,1225,11,T6J 2H8,0,6,11,-113.521,45,2024-11-08 04:00:00,0.000782897,53.4564,468,2364,1940,468
8,11,11,0.181391147,0,592,11,T5L 2E6,0,9,11,-113.5526,45,2023-11-08 04:00:00,0.001023788,53.585,468,2249,515,468
8,11,11,0.008611864,0,592,11,T5E 1V4,0,12,11,-113.4465,45,2023-11-08 04:00:00,0.000903342,53.7454,468,2249,908,468
4,16,16,0.008611864,-1,935,4,T5C 3C9,0,5,4,-113.4549,14,2024-04-04 03:00:00,0.00084312,53.5996,224,2497,1951,224
8,11,11,0.008611864,147,592,11,T5M 2J8,0,7,11,-113.5662,45,2023-11-08 04:00:00,0.000963565,53.563,468,2249,435,468
16,14,14,0.008611864,38,855,2,T5L 2E3,0,2,2,-113.5526,7,2024-02-16 04:00:00,0.000903342,53.585,250,2364,2137,250
8,11,11,0.008611864,138,592,11,T5G 2B6,0,2,11,-113.5051,45,2023-11-08 04:00:00,0.001023788,53.5705,468,2249,2077,468
8,11,11,0.008611864,138,592,11,T5A 4L9,0,5,11,-113.4077,45,2023-11-08 04:00:00,0.001324902,53.5931,468,2249,1989,468
8,11,11,0.008611864,138,592,11,T5A 4L9,0,1,11,-113.4077,45,2023-11-08 04:00:00,0.001324902,53.5931,468,2249,395,468
8,11,11,0.008611864,138,592,11,T5X 2Y8,0,11,11,-113.5245,45,2023-11-08 04:00:00,0.001023788,53.6313,468,2249,793,468
9,11,11,0.181391147,0,592,11,T5Y 3X2,0,7,11,-113.3614,45,2023-11-09 04:00:00,0.000963565,53.6585,468,2497,1499,468
9,11,11,0.181391147,0,592,11,T5T 0V5,0,1,11,-113.6579,45,2023-11-09 04:00:00,0.001204456,53.5185,468,2497,2162,468
22,14,14,0.181391147,-1,855,2,T5T 0V5,0,1,2,-113.6579,8,2024-02-22 04:00:00,0.001204456,53.5185,282,2497,2162,282
22,15,15,0.181391147,-1,947,3,T5T 0V5,0,1,3,-113.6579,12,2024-03-22 03:00:00,0.001204456,53.5185,237,2364,2162,237
22,16,16,0.181391147,2,935,4,T5T 0V5,0,1,4,-113.6579,17,2024-04-22 03:00:00,0.001204456,53.5185,221,2834,2162,221
24,17,17,0.181391147,5,1150,5,T5T 0V5,0,1,5,-113.6579,21,2024-05-24 03:00:00,0.001204456,53.5185,293,2364,2162,293
29,19,19,0.181391147,-25,1434,7,T5T 0V5,1,1,7,-113.6579,31,2024-07-29 03:00:00,0.001204456,53.5185,398,2834,2162,398
9,20,20,0.181391147,-1,1298,8,T5T 0V5,1,1,8,-113.6579,32,2024-08-09 03:00:00,0.001204456,53.5185,335,2364,2162,335
9,21,21,0.181391147,-32,1270,9,T5T 0V5,0,1,9,-113.6579,37,2024-09-09 03:00:00,0.001204456,53.5185,227,2834,2162,227
10,22,22,0.181391147,-63,1263,10,T5T 0V5,0,1,10,-113.6579,41,2024-10-10 03:00:00,0.001204456,53.5185,247,2497,2162,247
9,23,23,0.181391147,-93,1225,11,T5T 0V5,0,1,11,-113.6579,45,2024-11-09 04:00:00,0.001204456,53.5185,468,2187,2162,468
10,24,24,0.181391147,-124,1001,12,T5T 0V5,0,1,12,-113.6579,50,2024-12-10 04:00:00,0.001204456,53.5185,360,2438,2162,360
9,11,11,0.047877145,0,592,11,T6L 5V9,0,2,11,-113.4145,45,2023-11-09 04:00:00,0.000963565,53.4593,468,2497,2163,468
9,11,11,0.181391147,0,592,11,T5E 2M6,0,6,11,-113.4465,45,2023-11-09 04:00:00,0.001505571,53.7454,468,2497,1480,468
9,11,11,0.181391147,0,592,11,T5H 3W3,0,1,11,-113.4916,45,2023-11-09 04:00:00,0.001264679,53.5514,468,2497,812,468
15,12,12,0.181391147,-36,720,12,T5H 3W3,0,1,12,-113.4916,50,2023-12-15 04:00:00,0.001264679,53.5514,360,2364,812,360
15,13,13,0.181391147,0,824,1,T5H 3W3,0,1,1,-113.4916,3,2024-01-15 04:00:00,0.001264679,53.5514,307,2834,812,307
15,14,14,0.181391147,0,855,2,T5H 3W3,0,1,2,-113.4916,7,2024-02-15 04:00:00,0.001264679,53.5514,250,2497,812,250
15,15,15,0.181391147,-1,947,3,T5H 3W3,0,1,3,-113.4916,11,2024-03-15 03:00:00,0.001264679,53.5514,256,2364,812,256
15,16,16,0.181391147,3,935,4,T5H 3W3,0,1,4,-113.4916,16,2024-04-15 03:00:00,0.001264679,53.5514,225,2834,812,225
18,17,17,0.181391147,9,1150,5,T5H 3W3,0,1,5,-113.4916,20,2024-05-18 03:00:00,0.001264679,53.5514,260,2187,812,260
18,18,18,0.181391147,9,1503,6,T5H 3W3,1,1,6,-113.4916,25,2024-06-18 03:00:00,0.001264679,53.5514,327,2438,812,327
27,19,19,0.181391147,-30,1434,7,T5H 3W3,1,1,7,-113.4916,30,2024-07-27 03:00:00,0.001264679,53.5514,327,2187,812,327
2,20,20,0.181391147,-1,1298,8,T5H 3W3,1,1,8,-113.4916,31,2024-08-02 03:00:00,0.001264679,53.5514,398,2364,812,398
2,21,21,0.181391147,-32,1270,9,T5H 3W3,0,1,9,-113.4916,36,2024-09-02 03:00:00,0.001264679,53.5514,445,2834,812,445
2,22,22,0.181391147,-62,1263,10,T5H 3W3,0,1,10,-113.4916,40,2024-10-02 03:00:00,0.001264679,53.5514,368,2249,812,368
